genre_name,decade,film_count,avg_vote_average,avg_roi,median_roi,total_profit,avg_budget
Action,2000s,519,6.31,2.394,1.73,39937956485,52746614.0
Action,2010s,690,6.43,4.979,2.194,91478894066,63026698.0
Action,2020s,263,6.83,3.077,1.638,30911048987,73629060.0
Adventure,2000s,388,6.29,2.627,1.841,44971995849,64579154.0
Adventure,2010s,493,6.56,4.409,2.333,102577661893,84303526.0
Adventure,2020s,203,6.93,2.653,1.638,33580594639,93864293.0
Animation,2000s,132,6.7,3.172,2.046,15488955885,58484583.0
Animation,2010s,189,6.81,4.831,2.779,37027010908,68077891.0
Animation,2020s,90,7.42,4.701,1.966,17246628372,66973099.0
Comedy,2000s,860,6.17,3.209,1.792,41637662316,32092647.0
Comedy,2010s,871,6.37,4.435,2.391,62437855940,30370583.0
Comedy,2020s,294,6.74,2.448,1.323,23101685508,42645336.0
Crime,2000s,403,6.45,2.629,1.515,12730361538,29853156.0
Crime,2010s,364,6.5,4.358,1.703,17787898421,26642408.0
Crime,2020s,116,6.74,2.415,1.237,6486017427,44189873.0
Documentary,2000s,24,7.07,28.429,7.229,959796594,8329433.0
Documentary,2010s,27,7.17,7.815,3.387,390237240,7089074.0
Documentary,2020s,5,6.34,2.691,0.67,48610618,14480000.0
Drama,2000s,1051,6.66,3.237,1.584,30511091892,24701556.0
Drama,2010s,1213,6.74,5.179,1.673,47140079141,21795865.0
Drama,2020s,374,6.9,2.325,1.059,10624507894,27000242.0
Family,2000s,260,6.33,2.867,2.114,23646068849,54790824.0
Family,2010s,270,6.61,3.348,2.54,45960498553,68172829.0
Family,2020s,114,7.15,3.874,1.852,16898268917,69647666.0
Fantasy,2000s,231,6.35,2.614,1.887,24355919992,57188826.0
Fantasy,2010s,259,6.42,3.135,2.123,40050288366,71496978.0
Fantasy,2020s,137,6.81,4.107,1.29,17532524847,73839511.0
History,2000s,107,6.88,1.72,1.523,2623637270,40730775.0
History,2010s,162,6.94,2.675,1.38,5582777573,27806967.0
History,2020s,68,7.07,2.132,0.824,1686567924,33504770.0
Horror,2000s,250,5.99,57.084,2.018,7407269632,19107773.0
Horror,2010s,296,6.06,10.381,2.595,14404921125,15121215.0
Horror,2020s,201,6.37,6.202,2.206,8270771607,17779800.0
Music,2000s,70,6.54,5.565,2.104,2699490808,24091857.0
Music,2010s,69,6.79,10.359,2.296,4896161299,27627000.0
Music,2020s,32,7.05,2.293,1.013,1496464104,51454336.0
Mystery,2000s,219,6.26,61.788,1.562,7792315611,30025048.0
Mystery,2010s,183,6.43,5.786,1.92,8186910890,24332731.0
Mystery,2020s,95,6.46,4.43,2.031,6315983267,24648755.0
Romance,2000s,470,6.38,3.554,1.897,20369156446,26961564.0
Romance,2010s,379,6.61,3.663,2.242,18964113438,21810248.0
Romance,2020s,102,6.87,2.4,1.293,3550018042,32579729.0
Science Fiction,2000s,217,6.24,2.627,1.75,19010527531,59082498.0
Science Fiction,2010s,272,6.48,4.517,2.459,53758075097,81418128.0
Science Fiction,2020s,133,6.86,2.587,1.725,20816227945,90616544.0
TV Movie,2010s,3,6.25,2.237,2.384,11759580,4716667.0
Thriller,2000s,586,6.33,3.459,1.55,24055113462,35134252.0
Thriller,2010s,649,6.38,5.411,1.769,35513178975,27569777.0
Thriller,2020s,251,6.6,2.77,1.325,10059425405,34304869.0
War,2000s,80,6.83,2.071,1.537,2842280718,48739414.0
War,2010s,93,6.9,2.754,1.308,4708169482,29550895.0
War,2020s,27,7.01,3.199,0.855,1545318237,44309815.0
Western,2000s,24,6.48,1.61,0.906,333571931,34132531.0
Western,2010s,24,6.7,2.323,1.142,1268566149,52127083.0
Western,2020s,12,6.78,0.488,0.358,-146937773,24608333.0
